"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2024","158.02","158.41","158.75","156.50","5.46M","-0.80%"
"01/26/2024","159.30","160.07","161.35","158.25","2.82M","-0.26%"
"01/25/2024","159.71","158.55","160.33","158.16","4.07M","2.00%"
"01/24/2024","156.58","160.79","160.82","156.53","3.19M","-2.17%"
"01/23/2024","160.06","159.03","160.46","158.63","3.44M","0.92%"
"01/22/2024","158.60","157.78","159.28","157.31","2.63M","1.09%"
"01/19/2024","156.89","156.96","157.81","155.02","3.10M","0.23%"
"01/18/2024","156.53","155.26","156.92","153.82","3.10M","1.27%"
"01/17/2024","154.56","153.57","154.82","152.02","3.93M","-0.50%"
"01/16/2024","155.33","158.17","158.17","155.14","5.33M","-1.88%"
"01/12/2024","158.31","160.23","161.00","158.29","3.47M","-0.59%"
"01/11/2024","159.25","161.44","161.47","158.88","3.34M","-1.22%"
"01/10/2024","161.22","160.14","161.48","159.36","2.40M","0.80%"
"01/09/2024","159.94","159.02","160.26","158.30","2.64M","0.01%"
"01/08/2024","159.92","158.57","159.99","157.48","2.47M","0.76%"
"01/05/2024","158.72","156.42","159.46","156.25","2.54M","1.10%"
"01/04/2024","156.99","157.05","158.32","156.41","3.17M","-0.35%"
"01/03/2024","157.54","157.27","159.29","156.18","3.26M","-0.51%"
"01/02/2024","158.34","156.94","160.52","156.30","4.36M","0.71%"
"12/29/2023","157.23","157.08","158.19","156.13","2.19M","-0.05%"
"12/28/2023","157.31","155.90","157.76","155.90","2.25M","0.30%"
"12/27/2023","156.84","158.02","158.44","156.27","3.12M","-0.75%"
"12/26/2023","158.03","157.05","158.54","157.05","2.38M","-0.14%"
"12/22/2023","158.25","158.00","159.59","157.82","2.33M","0.69%"
"12/21/2023","157.16","157.60","157.92","155.24","3.78M","0.13%"
"12/20/2023","156.96","156.87","160.54","156.50","5.62M","-2.88%"
"12/19/2023","161.62","162.01","162.20","160.16","3.93M","0.03%"
"12/18/2023","161.57","163.38","163.82","161.39","3.88M","-0.84%"
"12/15/2023","162.94","161.37","163.81","160.06","8.74M","0.36%"
"12/14/2023","162.36","158.96","163.47","158.78","6.40M","3.25%"
"12/13/2023","157.25","154.84","157.39","154.02","4.06M","1.21%"
"12/12/2023","155.37","155.95","157.11","154.92","3.04M","-0.26%"
"12/11/2023","155.78","155.65","156.37","154.84","3.74M","-0.33%"
"12/08/2023","156.30","156.07","157.68","155.96","2.85M","-0.13%"
"12/07/2023","156.50","155.87","157.61","155.50","3.24M","0.78%"
"12/06/2023","155.29","155.02","156.06","154.46","3.00M","0.73%"
"12/05/2023","154.16","155.00","155.53","153.56","2.49M","-1.13%"
"12/04/2023","155.92","153.71","156.23","153.29","2.72M","0.65%"
"12/01/2023","154.91","151.99","154.97","151.02","3.95M","2.18%"
"11/30/2023","151.61","152.85","153.07","150.76","4.66M","-0.45%"
"11/29/2023","152.29","151.52","153.46","151.45","2.98M","1.03%"
"11/28/2023","150.74","149.70","151.08","148.98","3.07M","0.77%"
"11/27/2023","149.59","151.04","151.44","149.57","3.32M","-1.60%"
"11/24/2023","152.03","151.17","152.04","150.75","1.64M","0.85%"
"11/22/2023","150.75","150.96","151.24","149.93","2.64M","0.65%"
"11/21/2023","149.77","149.50","150.11","148.50","3.08M","0.13%"
"11/20/2023","149.57","147.85","150.28","146.87","4.73M","1.07%"
"11/17/2023","147.98","147.68","148.05","146.20","3.32M","0.73%"
"11/16/2023","146.91","147.27","148.20","145.63","3.73M","-0.18%"
"11/15/2023","147.17","144.00","147.90","143.95","4.77M","2.79%"
"11/14/2023","143.17","140.04","143.77","139.91","4.26M","3.62%"
"11/13/2023","138.17","137.67","138.55","137.01","3.21M","0.04%"
"11/10/2023","138.11","138.71","138.82","136.52","5.68M","-1.31%"
"11/09/2023","139.95","142.94","142.94","139.87","3.41M","-1.41%"
"11/08/2023","141.95","142.13","143.42","141.46","2.90M","0.07%"
"11/07/2023","141.85","141.48","142.10","140.60","2.95M","-0.30%"
"11/06/2023","142.27","143.22","143.49","141.29","2.93M","-0.41%"
"11/03/2023","142.86","143.23","144.81","142.81","3.27M","0.61%"
"11/02/2023","141.99","141.90","143.38","141.71","3.90M","1.57%"
"11/01/2023","139.80","141.38","142.14","138.05","3.57M","-1.03%"
"10/31/2023","141.25","138.62","141.32","138.21","4.00M","1.78%"
"10/30/2023","138.78","135.91","139.23","134.31","5.66M","2.93%"
"10/27/2023","134.83","138.43","139.79","133.68","6.59M","-2.45%"
"10/26/2023","138.21","142.50","146.29","137.93","10.58M","-5.93%"
"10/25/2023","146.93","148.74","148.90","146.01","3.57M","-1.60%"
"10/24/2023","149.32","148.74","150.21","148.34","2.80M","0.78%"
"10/23/2023","148.16","151.25","151.58","147.89","4.55M","-2.50%"
"10/20/2023","151.96","152.34","153.34","151.94","5.02M","-0.07%"
"10/19/2023","152.06","154.47","155.14","151.78","3.04M","-1.14%"
"10/18/2023","153.82","155.50","155.79","153.64","2.97M","-2.14%"
"10/17/2023","157.18","155.19","157.66","155.02","2.94M","0.34%"
"10/16/2023","156.65","156.74","158.49","156.12","3.35M","1.01%"
"10/13/2023","155.08","156.12","157.37","154.58","2.76M","-0.19%"
"10/12/2023","155.38","155.50","155.55","153.56","2.34M","0.05%"
"10/11/2023","155.30","155.78","156.24","153.47","2.21M","-0.16%"
"10/10/2023","155.55","154.51","156.45","154.28","2.08M","0.78%"
"10/09/2023","154.34","153.45","154.80","152.54","1.77M","0.05%"
"10/06/2023","154.27","152.88","155.15","152.30","2.38M","0.58%"
"10/05/2023","153.38","153.04","153.98","152.60","2.92M","-0.22%"
"10/04/2023","153.72","154.40","155.38","152.45","2.60M","-0.02%"
"10/03/2023","153.75","154.26","156.36","153.02","3.69M","-0.86%"
"10/02/2023","155.08","155.15","155.42","153.64","3.24M","-0.51%"
"09/29/2023","155.87","156.50","157.33","155.06","5.03M","0.24%"
"09/28/2023","155.50","152.63","155.56","152.43","5.57M","2.03%"
"09/27/2023","152.41","152.48","152.80","150.54","3.42M","0.34%"
"09/26/2023","151.90","153.00","154.01","151.80","3.46M","-1.56%"
"09/25/2023","154.31","152.93","155.39","152.82","2.90M","0.34%"
"09/22/2023","153.78","155.42","155.84","153.51","3.21M","-1.06%"
"09/21/2023","155.43","157.00","157.78","155.23","3.80M","-1.40%"
"09/20/2023","157.64","158.60","159.42","157.35","2.30M","-0.23%"
"09/19/2023","158.01","158.30","158.68","156.51","2.35M","-0.27%"
"09/18/2023","158.44","159.91","160.15","158.08","2.73M","-1.28%"
"09/15/2023","160.49","160.73","161.47","159.65","4.38M","-0.15%"
"09/14/2023","160.73","159.76","160.88","159.03","2.80M","1.83%"
"09/13/2023","157.84","156.56","158.05","155.86","4.07M","0.81%"
"09/12/2023","156.57","157.37","158.00","155.10","6.23M","-2.69%"
"09/11/2023","160.89","161.60","162.28","160.34","3.64M","-0.09%"
"09/08/2023","161.04","162.42","162.42","160.60","3.56M","-0.74%"
"09/07/2023","162.24","161.99","162.65","160.52","3.01M","-0.04%"
"09/06/2023","162.31","163.88","164.25","161.45","3.88M","-1.01%"
"09/05/2023","163.97","167.50","168.01","163.61","4.90M","-2.40%"
"09/01/2023","168.00","170.52","170.68","167.34","3.29M","-0.83%"
"08/31/2023","169.40","172.03","172.69","169.30","3.55M","-1.52%"
"08/30/2023","172.01","172.05","172.75","170.99","2.71M","0.15%"
"08/29/2023","171.75","169.34","171.93","169.00","3.26M","1.72%"
"08/28/2023","168.84","169.70","170.65","167.96","1.97M","-0.02%"
"08/25/2023","168.87","167.43","169.35","166.85","2.51M","1.12%"
"08/24/2023","167.00","168.03","168.82","166.97","2.21M","-1.11%"
"08/23/2023","168.88","167.71","169.32","167.34","2.38M","1.21%"
"08/22/2023","166.86","169.00","170.36","166.40","2.70M","-0.97%"
"08/21/2023","168.49","170.91","171.73","167.07","3.51M","-1.61%"
"08/18/2023","171.24","169.81","172.16","169.81","2.87M","0.29%"
"08/17/2023","170.74","171.36","171.55","170.05","2.99M","0.00%"
"08/16/2023","170.74","172.10","173.58","170.58","2.50M","-1.45%"
"08/15/2023","173.26","174.45","174.56","172.76","2.27M","-1.28%"
"08/14/2023","175.51","176.12","176.44","174.56","2.98M","-0.63%"
"08/11/2023","176.62","178.27","179.03","175.90","3.56M","-2.08%"
"08/10/2023","180.38","180.08","182.25","179.93","3.96M","0.56%"
"08/09/2023","179.37","179.12","181.37","178.56","3.25M","-0.65%"
"08/08/2023","180.55","183.06","184.33","176.02","6.43M","-0.88%"
"08/07/2023","182.15","182.00","183.24","180.74","4.41M","0.67%"
"08/04/2023","180.94","182.13","182.60","180.47","4.44M","-0.31%"
"08/03/2023","181.50","182.34","184.56","181.26","3.69M","-1.01%"
"08/02/2023","183.35","183.95","185.36","182.84","2.01M","-1.16%"
"08/01/2023","185.50","186.86","187.00","183.77","2.83M","-0.87%"
"07/31/2023","187.13","187.80","188.32","186.20","2.33M","-0.40%"
"07/28/2023","187.89","188.39","189.65","187.69","2.30M","0.73%"
"07/27/2023","186.52","185.12","187.23","184.05","3.25M","1.16%"
"07/26/2023","184.39","183.25","185.13","181.71","4.19M","-0.16%"
"07/25/2023","184.69","187.81","192.98","182.14","10.01M","-1.94%"
"07/24/2023","188.34","185.86","189.35","185.72","2.46M","0.56%"
"07/21/2023","187.30","186.91","189.48","186.74","5.07M","0.19%"
"07/20/2023","186.94","186.63","188.21","185.60","2.70M","0.49%"
"07/19/2023","186.02","184.60","186.47","184.60","3.02M","0.79%"
"07/18/2023","184.57","182.82","184.90","182.82","2.39M","1.00%"
"07/17/2023","182.74","184.48","184.50","182.42","2.56M","-1.36%"
"07/14/2023","185.26","184.78","185.66","183.90","2.21M","-0.05%"
"07/13/2023","185.36","186.64","187.82","185.33","2.86M","-0.61%"
"07/12/2023","186.49","187.07","187.67","185.47","2.59M","0.67%"
